,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
92,75001,48.8566969,2.3514616,Primo Epicerie Fine,48.855737,2.357889,Italian Restaurant
93,75001,48.8566969,2.3514616,Hôtel Saint-Louis,48.85266784726747,2.3541636327891102,Hotel
94,75001,48.8566969,2.3514616,Le Sarrasin et le Froment,48.852720274957456,2.354271411895752,Creperie
95,75001,48.8566969,2.3514616,Brasserie de l'Isle Saint-Louis,48.85305030738144,2.3534024599939585,Brasserie
96,75001,48.8566969,2.3514616,Café Med,48.85272560657876,2.353989380912962,French Restaurant
97,75001,48.8566969,2.3514616,Bodega 64,48.85558679107409,2.3580503115386984,Tapas Restaurant
98,75001,48.8566969,2.3514616,Place Saint-Gervais,48.85580211604415,2.3537779243894312,Plaza
99,75001,48.8566969,2.3514616,Pain d'Epices,48.85328136217487,2.3537753202645795,French Restaurant
100,75002,48.8566969,2.3514616,Place de l'Hôtel de Ville – Esplanade de la Libération,48.85692475726913,2.3514118156673676,Plaza
101,75002,48.8566969,2.3514616,Berges de Seine – Rive droite,48.855130568830376,2.352289446225441,Pedestrian Plaza
102,75002,48.8566969,2.3514616,Parc Rives de Seine,48.85551048052973,2.3514188826084137,Park
103,75002,48.8566969,2.3514616,L'Alsacien,48.85827502747949,2.3503806119494897,Alsatian Restaurant
104,75002,48.8566969,2.3514616,Maison Aleph,48.857348,2.354873,Pastry Shop
105,75002,48.8566969,2.3514616,The Body Shop,48.857506542464996,2.352117521536684,Cosmetics Shop
106,75002,48.8566969,2.3514616,Tour Saint-Jacques,48.858030532545826,2.348874807357788,Historic Site
107,75002,48.8566969,2.3514616,Square de la Tour Saint-Jacques,48.857882297703746,2.348756790161133,Park
108,75002,48.8566969,2.3514616,BHV Marais,48.8573123,2.3536331,Department Store
109,75002,48.8566969,2.3514616,Galerie Azzedine Alaïa,48.857544773243966,2.3552169725375203,Art Gallery
110,75002,48.8566969,2.3514616,Fleux',48.85876287681194,2.3541614413261414,Furniture / Home Store
111,75002,48.8566969,2.3514616,Huygens Cosmetique Naturelle Sur Mesure,48.85893757904192,2.3537778854370117,Cosmetics Shop
112,75002,48.8566969,2.3514616,Au Bougnat,48.85430198313846,2.350065379156101,Auvergne Restaurant
113,75002,48.8566969,2.3514616,Häagen-Dazs,48.8548703,2.3502584,Ice Cream Shop
